AtomicNumber,AtomicSymbol,Element,AtomTup,OrbitalGroup,Protons,Neutrons,GroupNumber,Period,SlotNumber,SlotP,SlotN,SlotOrien,AlphaType,SlotX,SlotY,SlotZ,CanBind,SlotLayout,SL1,SL2,SL3,SL4
82,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,7,0,0,V,0,0,0,0,N,,- 17,|| 3,- 19,
83,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
84,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,9,0,0,V,0,0,0,0,N,,,,,
85,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,10,0,0,H,0,0,0,0,N,,,| 15,,
86,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,11,0,0,H,0,0,0,0,N,,,,,
87,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,12,0,0,H,0,0,0,0,N,,,,,
88,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,13,0,0,H,0,0,0,0,N,,,,,
89,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,14,0,0,V,0,0,0,0,N,,,,,
90,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,15,0,0,V,0,0,0,0,N,,,,,
91,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,16,0,0,H,0,0,0,0,N,,,,,
92,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,17,0,0,H,0,0,0,0,N,,,,,
93,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,18,0,0,H,0,0,0,0,N,,,,,
94,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,19,0,0,H,0,0,0,0,N,,,,,
95,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,1,0,0,H,2,0,0,0,N,,,,,
96,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,2,0,0,V,1,0,0,0,Y,,,| 14,,
97,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,3,0,0,V,1,0,0,0,Y,,,,,
98,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
99,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
100,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,6,0,0,V,0,0,0,0,Y,- 10,| 6,1,| 7,- 12
101,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,7,0,0,V,0,0,0,0,Y,,- 17,| 3,- 19,
102,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
103,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,9,0,0,V,0,0,0,0,N,,,,,
104,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,10,0,0,H,0,0,0,0,N,,,| 15,,
105,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,11,0,0,H,0,0,0,0,N,,,,,
106,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,12,0,0,H,0,0,0,0,N,,,,,
107,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,13,0,0,H,0,0,0,0,N,,,,,
108,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,14,0,0,V,0,0,0,0,N,,,,,
109,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,15,0,0,V,0,0,0,0,N,,,,,
110,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,16,0,0,H,0,0,0,0,N,,,,,
111,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,17,0,0,H,0,0,0,0,N,,,,,
112,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,18,0,0,H,0,0,0,0,N,,,,,
113,6,C,cabon,"(' 6 carbon C ', 6)",[He],6,6,14,2,19,0,0,H,0,0,0,0,N,,,,,
114,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,1,0,0,H,2,0,0,0,Y,,,,,
115,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,2,0,0,V,1,0,0,0,Y,,,| 14,,
116,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,3,0,0,V,0,0,0,0,N,,,,,
117,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
118,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
119,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,6,0,0,V,0,0,0,0,N,- 10,| 6,E 1,| 7,- 12
120,7,N,nitrogen,"(' 7 nitrogen N ', 7)",[He],7,7,15,2,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
